answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
"Человеческая рука, держащая крошечный цветок.";1;;1;;;;;;;;;;;;1;;;;;;
"Изображение лица, выражающего глубокую грусть.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография глаз, глядящих в объектив камеры с тайным взглядом.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, поднимающая руки к небу в знак поклона.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение губ, в которых задерживается капля вина.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография пальцев, вдыхающих аромат свежей земли.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая спина, искупаемая в лучах утреннего солнца.";1;;1;;;;;;;;;;1;;;;;;;;
"Изображение руки, подающей монету нищему.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, освещенного улыбкой рассвета.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, обнимающая ствол дерева.";1;;;;;;;;;;;;;;1;;;;;;
"Изображение ног, идущих по каменистой дороге.";1;;1;;;;;;;;;;1;;;;;;;;
"Фотография руки, держащей фотоаппарат.";1;;1;;;;;;1;;;;;;;;;;;;
"Человеческая рука, распростертая в жесте обнимания.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение глаз, сверкающих от радости.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография губ, в которых тает шоколад.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая спина, согнутая под тяжестью груза.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение сердца, разбитого на тысячу мелких осколков.";;;;;;;1;;;;;;;;;;;;;;
"Фотография пальцев, играющих на клавишах пианино.";1;;1;;;;;;1;;;;;;;;;;;;
"Человеческая фигура, окутанная дымом костра.";1;;;;;;;;;;;;;;;;;;;;
"Изображение руки, стряхивающей пыль с старой книги.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, покрытого маской таинственности.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая рука, удерживающая падающую звезду.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение ног, стоящих на краю обрыва.";1;;1;;;;;;;;;;1;;;;;;;;
"Фотография губ, прошептывающих слова любви.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая спина, прогибающаяся во время танца.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение глаз, озаренных светом вдохновения.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография пальцев, ткаущих нить жизни.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, сидящая на скамейке в парке.";1;;;;;;;;;;;;1;;;;;;;;
"Изображение руки, рисующей на песке мандалу.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, отражающего мудрость и опыт.";1;;1;;;;;;;;;;;;;;;1;;;
"Человеческая рука, держащая кисть для живописи.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение сердца, сверкающего в лучах заката.";;;;;;;1;;;;;;;;;;;;;;
"Фотография ног, стоящих на замерзшей поверхности озера.";1;;1;;;;;;;;;;1;;;;;;;;
"Человеческая спина, обвитая пленкой татуировок.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение губ, целующихся под дождем.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография глаз, сияющих от счастья.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, замершая в ожидании.";1;;;;;;;;;;;;;;;;;;;;
"Изображение рук, сбрасывающих цепь оков.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, покрытого маской грима.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая рука, поглаживающая мягкую ткань.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение ног, следующих по следам на песке.";1;;1;;;;;;;;;;1;;;;;;;;
"Фотография сердца, пульсирующего в ритме жизни.";;;;;;;1;;;;;;;;;;;;;;
"Человеческая спина, погруженная в глубокий сон.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение глаз, уставших от борьбы.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография губ, украшенных бриллиантовыми каплями.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, облитая яркими красками.";1;;;;;;;;;;;;;;;;;;;;
"Изображение руки, тянущейся к свету из темноты.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, отражающего глубокую медитацию.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая рука, поддерживающая другую во время слез.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение сердца, обвитого паутиной запутанных мыслей.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография ног, бегущих по зеленому полю.";1;;1;;;;;;;;;;1;;;;;;;;
"Человеческая спина, прогибающаяся под тяжестью груза.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение глаз, загораживаемых ресницами во время молитвы.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография губ, в которых прячется таинственная улыбка.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, взирающая вдаль с вершины горы.";1;;;;;;;;;;;;1;;;;;;;;
"Изображение руки, плетущей корзину из лозы.";1;;1;;;;;;1;;;;;;;;;;;;
"Фотография лица, покрытого каплями росы.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая рука, касающаяся лица в знак размышлений.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение сердца, раскрытого в ожидании любви.";;;;;;;1;;;;;;;;;;;;;;
"Фотография ног, стоящих на каменном берегу моря.";1;;1;;;;;;;;;;1;;;;;;;;
"Человеческая спина, погруженная в кресло во время чтения.";1;;1;;;;;;1;;;;;;;;;;;;
"Изображение глаз, погруженных в книгу с волнующим сюжетом.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография губ, приоткрытых для поцелуя.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, прыгающая на батуте с радостью.";1;;;;;;;;;;;;;;;;;;;;
"Изображение руки, поднимающейся вверх в знак победы.";1;;1;;;;;;;;;;;;;;;;;;
"Рисунок человеческой фигуры с головой льва и телом орла, символизирующий могущество и силу.";1;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с вытянутыми в длину руками и ногами, создающими комический эффект.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человеческого тела с головой в виде птицы, излучающей мудрость и свободу.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой слона и телом человека, символизирующее мудрость и силу.";;1;;;;1;;;;;;;;;;;;;;;
"Рисунок человека с телом рыбы, выражающий гармонию с водными элементами.";;1;;;;1;;;;;;;;;;;;;;;
Карикатурный рисунок человеческой фигуры с непропорционально большой головой и маленьким телом.;;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с телом змеи, изображающая гибкость и хитрость.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой волка и телом человека, символизирующее храбрость и силу духа.";;1;;;;1;;;;;;;;;;;;;;;
"Рисунок человека с растительными элементами вместо рук и ног, олицетворяющий единство с природой.";;1;;;;;;;;;;;;;1;;;;;;
"Карикатурная скульптура человека с головой слона, отображающая мудрость и умение запоминать.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой льва и телом орла, символизирующее власть и величие.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с крыльями, изображающий стремление к свободе и высотам.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с гигантскими глазами и крошечным носом, придавая ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой льва и телом тигра, отображающая силу и агрессивность.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом льва, символизирующее величие и свободу.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом дракона, изображающий его связь с мифическим миром.";;1;;;;;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с перекошенными чертами лица, создающий смешной облик.";;1;;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой рыбы, отражающая его связь с водными просторами.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом змеи, символизирующее мудрость и гибкость.";;1;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с птичьими крыльями, изображающий его стремление к высоким идеалам.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурная скульптура человека с длинными ногами и коротким телом, придавая ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Мифическое существо с головой льва и телом орла, символизирующее могущество и власть.";;1;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с головой дракона, отражающий его связь с миром фантазии и воображения.";;1;;;;;;;;;;;;;;;;;;;
"Карикатурный портрет человека с длинным носом и вытянутыми ушами, создающий комический облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой слона и телом льва, символизирующая мудрость и силу.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом льва, отображающее величие и могущество.";;;;;1;;;;;;;;;;;;;;;;
"Рисунок человека с хвостом змеи, символизирующий его связь с загадочным и таинственным.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с гигантскими руками и маленьким телом, создающим комический эффект.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой тигра и телом орла, отображающая силу и свободу.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой дракона и телом льва, символизирующее могущество и страх.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом павлина, изображающий его связь с красотой и грацией.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с утолщенным лицом и карикатурными чертами, придавая ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой дракона и телом орла, символизирующая силу и страх.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой тигра и телом льва, отображающее мощь и гордость.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с рогами оленя, изображающий его связь с природой и животным миром.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с гигантскими глазами и карикатурными чертами, создающий комический облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой льва и телом тигра, символизирующая силу и стойкость.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом змеи, отображающее мудрость и гибкость.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с птичьими крыльями и перьями, изображающий его связь с воздушными просторами и свободой полета.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с удлиненными руками и ногами, придавая ему комический облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой слона и телом орла, символизирующая мудрость и величие.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой дракона и телом льва, отображающее силу и страх.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом рыбы, символизирующий его связь с водными просторами и глубинами.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с крупной головой и узким телом, придавая ему комический облик.";;1;1;;;;;;;;;;;;;;;;;;
"Карикатурный портрет человека с вытянутым лицом и кривыми чертами, создающий комический эффект.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой дракона и телом льва, отображающая его связь с мифическим миром и силу.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой тигра и телом орла, символизирующее мощь и свободу.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом льва, изображающий его связь с силой и властью в животном мире.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с громадными ушами и узким лицом, придающий ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой орла и крыльями, символизирующая его связь с небесными просторами и стремление к высотам.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой дракона и телом тигра, отражающее его связь с миром фантазии и силой.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом рыбы, изображающий его связь с водными стихиями и миром подводного царства.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с крупными ногами и маленькой головой, создающий смешной облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой слона и рогами, символизирующая его связь с миром животных и мудростью.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой тигра и телом орла, отражающее его связь с землей и небом, силу и свободу.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с птичьими крыльями и огромными глазами, изображающий его стремление к свету и истине.";;1;1;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с длинным носом и большими ушами, создающий комический облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой дракона и крыльями, символизирующая его связь с миром фантазии и силой воображения.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом льва, отображающее его связь с небесными просторами и земными бурями.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом льва и крыльями, изображающий его связь с небесами и землей, силу и свободу.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с огромными глазами и карикатурными чертами лица, создающий смешной облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой тигра и рогами, символизирующая его связь с миром животных и силой.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой дракона и телом орла, отражающее его связь с миром фантазии и властью.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом рыбы и плавниками, изображающий его связь с миром подводного царства и его загадочностью.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с непропорционально большими руками и ногами, придающий ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой орла и крыльями, символизирующая его связь с небесами и стремление к свободе.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой льва и телом тигра, отражающее его связь с землей и мудростью.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с птичьими крыльями и глазами, изображающий его стремление к высотам и свободе полета.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с длинным языком и вытянутым лицом, создающий смешной облик.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой слона и крыльями, символизирующая его связь с животным миром и стремление к свободе.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой дракона и телом орла, отражающее его связь с миром фантазии и силой воображения.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом льва и птичьими крыльями, изображающий его связь с небом и землей, могуществом и свободой.";;1;;;;1;;;;;;;;;;;;;;;
"Карикатурный рисунок человеческой фигуры с непропорционально большими глазами и карикатурными чертами лица, создающий комический эффект.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой тигра и крыльями, символизирующая его связь с миром животных и стремление к свободе.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом льва, отображающее его связь с небесами и землей, величие и силу.";;;;;1;1;;;;;;;;;;;;;;;
"Рисунок человека с птичьими крыльями и вытянутыми руками, изображающий его стремление к свету и свободе полета.";;1;1;;;1;;;;;;;;;;;;;;;
"Карикатурный портрет человека с крупной головой и узким телом, придающий ему комический вид.";;1;1;;;;;;;;;;;;;;;;;;
"Скульптура человека с головой слона и крыльями, символизирующая его связь с миром животных и стремление к свободе.";;1;;;;1;;;;;;;;;;;;;;;
"Рисунок человека с хвостом льва и крыльями, изображающий его связь с небом и землей, мощью и свободой.";;1;;;;1;;;;;;;;;;;;;;;
"Мифическое существо с головой орла и телом льва, отображающее его связь с небесами и землей, величие и мощь.";;;;;1;1;;;;;;;;;;;;;;;
части человеческих фигур;;;;;;;;;;;;;;;;;;;;;
"Рука, протянутая вперёд, сжимает кулак.";;;1;;;;;;;;;;;;;;;;;;
"Пальцы, играющие на клавишах пианино.";;;1;;;;;;1;;;;;;;;;;;;
"Ноги, стоящие на краю обрыва.";;;1;;;;;;;;;;1;;;;;;;;
"Глаза, смотрящие вдаль с выражением удивления.";;;1;;;;;;;;;;;;;;;;;;
"Уста, улыбающиеся в яркой улыбке.";;;1;;;;;;;;;;;;;;;;;;
"Ладонь, поддерживающая маленькую птичку.";;;1;1;;;;;;;;;;;;;;;;;
"Волосы, развевающиеся на ветру.";;;1;;;;;;;;;;;;;;;;;;
"Щёки, покрытые слезами.";;;1;;;;;;;;;;;;;;;;;;
"Локоть, опирающийся на стол.";;;1;;;;;;1;;;;;;;;;;;;
"Шея, украшенная кулоном.";;;1;;;;;;1;;;;;;;;;;;;
"Плечи, обвитые тёплым пледом.";;;1;;;;;;;;;;;;;;;;;;
"Пальцы, шагающие по клавишам гитары.";;;1;;;;;;1;;;;;;;;;;;;
"Спина, поддерживающая друзей в трудную минуту.";;;1;;;;;;;;;;;;;;;;;;
"Губы, обрамлённые тонкой улыбкой.";;;1;;;;;;;;;;;;;;;;;;
"Глаза, смотрящие в объектив камеры с любовью.";;;1;;;;;;1;;;;;;;;;;;;
"Рука, расправляющая волосы.";;;1;;;;;;;;;;;;;;;;;;
"Ноги, бегущие по зелёной поляне.";;;1;;;;;;;;;;1;;;;;;;;
"Пальцы, поглаживающие кожу животного.";;;1;;;1;;;;;;;;;;;;;;;
"Ухо, прислушивающееся к тихим звукам природы.";;;1;;;;;;;;;;;;;;;;;;
"Губы, шепчущие тайну на ушко.";;;1;;;;;;;;;;;;;;;;;;
"Рука, протягиваемая в помощь.";;;1;;;;;;;;;;;;;;;;;;
"Ладонь, украшенная мандалой.";;;1;;;;;;;;;;;;;;;;;;
"Нос, высматривающий что-то вдалеке.";;;1;;;;;;;;;;;;;;;;;;
"Глаза, смотрящие на закат с нежностью.";;;1;;;;;;;;;;1;;;;;;;;
"Щека, прижимающаяся к щеке в объятиях.";;;1;;;;;;;;;;;;;;;;;;
"Пальцы, играющие с крошкой на песке.";;;1;;;;;;;;;;1;;;;;;;;
"Губы, целующие повреждённое место.";;;1;;;;;;;;;;;;;;;;;;
"Рука, подающая букет цветов.";;;1;;;;;;;;;;;;;;;;;;
"Ноги, погружающиеся в тёплую воду океана.";;;1;;;;;;;;;;1;;;;;;;;
"Уши, слушающие музыку в наушниках.";;;1;;;;;;1;;;;;;;;;;;;
"Пальцы, мастерски ведущие перо по бумаге.";;;1;;;;;;;;;;;;;;;;;;
"Глаза, смотрящие в небо с надеждой.";;;1;;;;;;;;;;;;;;;;;;
"Губы, произносящие слова искренней благодарности.";;;1;;;;;;;;;;;;;;;;;;
"Рука, зажимающая бинокль для наблюдения за птицами.";;;1;1;;;;;1;;;;;;;;;;;;
"Ладонь, показывающая путь вперёд.";;;1;;;;;;;;;;;;;;;;;;
"Глаза, смотрящие в глубину океана с изумлением.";;;1;;;;;;;;;;;;;;;;;;
"Рот, вкушающий сочный фрукт.";;;1;;;;;;;;;1;;;;;;;;;
"Пальцы, пишущие нежные слова на бумаге.";;;1;;;;;;;;;;;;;;;;;;
"Локоть, подпирающий окно, в котором отражается закат.";;;1;;;;;;;;;;1;;;;;;;;
"Шея, украшенная подвеской в виде сердца.";;;1;;;;;;1;;;;;;;;;;;;
"Рука, подающая ладошку для приветствия.";;;1;;;;;;;;;;;;;;;;;;
"Глаза, уставленные вдаль с мыслями о будущем.";;;1;;;;;;;;;;;;;;;;;;
"Губы, целующие ребёнка перед сном.";;;1;;;;;;;;;;;;;;;;;;
"Пальцы, делающие знак ""ок"" в знак утверждения.";;;1;;;;;;;;;;;;;;;;;;
"Ухо, прислушивающееся к тихому шепоту.";;;1;;;;;;;;;;;;;;;;;;
"Щека, прижимаемая к холодному окну зимой.";;;1;;;;;;;;;;;;;;;;;;
"Рука, обнимающая дерево в знак благодарности к природе.";;;1;;;;;;;;;;;;1;;;;;;
"Глаза, смотрящие на сцену с аплодисментами.";;;1;;;;;;;;;;;;;;;;;;
"Губы, складывающиеся в нежный поцелуй.";;;1;;;;;;;;;;;;;;;;;;
"Пальцы, перелистывающие страницы любимой книги.";;;1;;;;;;1;;;;;;;;;;;;
"фигура животного, целая или почти целая";;;;;;;;;;;;;;;;;;;;;
"Могучий лев, стоящий на каменном утёсе, взглядом направленным вдаль.";;;;1;;;;;;;;;1;;;;;;;;
"Статный слон, идущий сквозь зелёные заросли с невероятным достоинством.";;;;1;;;;;;;;;1;;;;;;;;
"Милый кролик, сидящий на задних лапах, с весёлым выражением на лице.";;;;1;;1;;;;;;;;;;;;;;;
"Мощный тигр, прогуливающийся в тени густого джунгля.";;;;1;;;;;;;;;1;;;;;;;;
"Красивая лань, стоящая в высокой траве, внимательно вглядывающаяся вокруг.";;;;1;;;;;;;;;1;;;;;;;;
"Ласковая кошка, свернувшись клубочком, отдыхает на мягком коврике.";;;;1;;;;;;;;;;;;;;;;;
"Плавающая в океане дельфиниха, весело прыгающая на волнах.";;;;1;;;;;;;;;;;;;;;;;
"Величественный орёл, парящий в небесах с расправленными крыльями.";;;;1;;1;;;;;;;;;;;;;;;
"Порхающий бабочка, раскрывающая свои яркие крылья на цветочном лугу.";;;;1;;1;;;;;;;;;;;;;;;
"Приподнятый на лапах медведь, осматривающий окружающую местность с любопытством.";;;;1;;1;;;;;;;;;;;;;;;
"Плавающая утка, мягко скользящая по тихому озеру.";;;;1;;;;;;;;;1;;;;;;;;
"Задумчивый волк, возвышающийся над холмистой местностью.";;;;1;;;;;;;;;1;;;;;;;;
"Улыбающаяся лисица, встретившаяся на поляне в лесу.";;;;1;;;;;;;;;1;;;;;;;;
"Красивый павлин, разворачивающий свои яркие хвостовые перья во всей красе.";;;;1;;1;;;;;;;;;;;;;;;
"Крепкий конь, встающий на задние ноги, демонстрируя свою силу.";;;;1;;1;;;;;;;;;;;;;;;
"Забавный ежик, свернувшийся в комочек, спрятавшись под кустиком.";;;;1;;;;;;;;;;;;;;;;;
"Быстрый гепард, мчащийся по африканской равнине со скоростью молнии.";;;;1;;;;;;;;;1;;;;;;;;
"Умный сова, сидящая на ветке дерева, сверлящая взглядом темноту ночи.";;;;1;;;;;;;;;1;;;;;;;;
"Хищный крокодил, плавающий в мутных водах реки, выглядывая только глазами.";;;;1;;1;;;;;;;;;;;;;;;
"Ползущая змея, прячущаяся среди травы в ожидании добычи.";;;;1;;;;;;;;;1;;;;;;;;
"Широкий медведь, прогуливающийся в лесу с уверенным шагом.";;;;1;;;;;;;;;1;;;;;;;;
"Улитка, медленно ползущая по ветке дерева, своим маленьким домиком.";;;;1;;;;;;;;;;;1;;;;;;
"Приподнятая на лапах кошка, играющаяся с лучами солнца.";;;;1;;1;;;;;;;;;;;;;;;
"Целомудренная газель, бегущая по бескрайним прериям в поисках пищи.";;;;1;;;;;;;;;1;;;;;;;;
"Уверенный в себе панда, лежащая в своём бамбуковом лесу.";;;;1;;;;;;;;;1;;;;;;;;
"Плывущий лебедь, словно белый ангел, на озере в лучах заката.";;;;1;;;;;;;;;1;;;;;;;;
"Крошечная мышь, исследующая окружающий мир с любопытством.";;;;1;;;;;;;;;;;;;;;;;
"Подпрыгивающий кенгуру, перебирающийся через пустыню.";;;;1;;;;;;;;;1;;;;;;;;
"Забавный пингвин, шатаясь по льду, будто ходит на цыпочках.";;;;1;;;;;;;;;1;;;;;;;;
"Робкая белка, перебирающаясь с ветки на ветку в поисках орехов.";;;;1;;;;;;;;1;;;;;;;;;
"Манящая сирена, взмахивающая хвостом в голубых водах.";;;;1;;1;;;;;;;1;;;;;;;;
"Поднимающийся кит, выплескивающий фонтан воды в океане.";;;;1;;;;;;;;;;;;;;;;;
"Прыгающий кролик, исполняющий воздушные трюки на зелёной поляне.";;;;1;;;;;;;;;1;;;;;;;;
"Гордый фламинго, стоящий на одной ноге в мелководье.";;;;1;;;;;;;;;;;;;;;;;
"Задумчивая черепаха, медленно продвигающаяся по песчаному берегу.";;;;1;;;;;;;;;1;;;;;;;;
"Утончённая стая лебедей, парящая над зеркальной гладью озера.";;;;1;;;;;;;;;1;;;;;;;;
"Весёлая обезьяна, карабкающаяся по деревьям в тропическом лесу.";;;;1;;;;;;;;;1;;;;;;;;
"Ленивый кот, уютно устроившийся на солнечном пятне на окне.";;;;1;;;;;;;;;;;;;;;;;
"Грациозная антилопа, бегущая по саванне с мягкими прыжками.";;;;1;;;;;;;;;;1;;;;;;;
"Охотливый ястреб, кружащий в небе в поисках добычи.";;;;1;;;;;;;;;;;;;;;;;
"Будоражащий волк, выть которого разносится по лесу ночью.";;;;1;;;;;;;;;;;;;;;;;
